OBJECTID,PLAN_NO,BHC_TYPE,BHC_VALUE,SHAPE_Leng,Shape__Area,Shape__Length
319,S/H4/17,BHCB,190,227.586201616,3694.15234375,246.434256004224
320,S/H4/17,BHCB,21,283.970324037,2731.298828125,307.49343669971
321,S/H4/17,BHCB,26,101.905154671,499.732421875,110.394281112747
322,S/H4/17,BHCB,115,160.681966681,1877.958984375,174.075992097309
323,S/H4/17,BHCB,26,135.63101579,899.548828125,146.821406265049
324,S/H4/17,BHCB,80,392.439745176,10225.28125,425.128128864741
325,S/H3/34,BHCB,120,829.502167873,19032.71484375,897.511173211776
326,S/H3/34,BHCB,120,750.156044564,18576.916015625,812.163433615617
327,S/H3/34,BHCB,120,292.654304745,6207.32421875,317.228254579746
328,S/H3/34,BHCB,120,225.187378531,2790.548828125,243.764426184905
329,S/H3/34,BHCB,120,559.263801923,10832.271484375,606.272422254604
330,S/H3/34,BHCB,120,165.71841938,1359.95703125,179.608637311473
331,S/H3/34,BHCB,120,726.885464219,12780.626953125,787.173832998505
332,S/H3/34,BHCB,120,106.424067638,704.0859375,115.344845000041
333,S/H3/34,BHCB,90,80.8003530595,470.98046875,87.566074518054
334,S/H3/34,BHCB,110,504.335153159,6822.625,546.208109707063
335,S/H3/34,BHCB,110,84.0637507607,507.197265625,91.0492732208656
336,S/H3/34,BHCS,10,451.733797449,10087.373046875,489.741652085955
337,S/H3/34,BHCS,8,239.445406853,4087.30078125,259.179639007573
338,S/H3/34,BHCB,24,519.924387761,3744.166015625,563.282201731659
339,S/H3/34,BHCB,120,223.964737554,3683.49609375,242.503841515398
340,S/H3/34,BHCB,120,166.775473015,1824.07421875,180.50492951259
341,S/H3/34,BHCB,120,221.73086339,3472.515625,240.064586039438
342,S/H3/34,BHCB,120,326.290378337,3383.95703125,352.713826495446
343,S/H3/34,BHCB,120,141.754083113,1015.958984375,153.353761565725
344,S/H3/34,BHCB,120,116.289799212,765.546875,125.805092537
345,S/H3/34,BHCB,120,291.37010984,4242.908203125,315.137652327019
346,S/H3/34,BHCB,140,700.536015361,8562.373046875,759.339710320995
347,S/H3/34,BHCB,130,470.475163442,7583.0625,510.00044480504
348,S/H3/34,BHCB,120,540.034076885,4435.19140625,584.363330588718
349,S/H3/34,BHCS,3,129.349217656,1001.78125,140.28271685158
350,S/H3/34,BHCB,140,139.339134275,1314.95703125,151.073533036131
351,S/H3/34,BHCB,120,64.0020749194,217.48828125,69.3507875230362
352,S/H3/34,BHCB,120,181.654903532,1974.00390625,196.649791623954
353,S/H3/34,BHCB,160,477.627976907,9320.564453125,517.417942552524
354,S/H3/34,BHCB,120,578.924377764,6676.55078125,627.56454805607
355,S/H3/34,BHCB,120,105.601008138,613.533203125,114.423540760358
356,S/H3/34,BHCB,150,142.946691389,1083.51953125,154.628433457716
357,S/H3/34,BHCS,8,133.959024579,997.05859375,144.921338818897
358,S/H3/34,BHCB,110,397.821446038,4642.462890625,430.928435317385
359,S/H3/34,BHCS,6,101.10514924,722.259765625,109.593645069231
360,S/H3/34,BHCB,140,277.495938358,5048.59765625,300.40252941794
361,S/H3/34,BHCB,120,233.956116897,2211.490234375,253.496794897201
362,S/H3/34,BHCB,110,538.711591521,8013.708984375,582.963077016498
363,S/H3/34,BHCB,150,195.460419278,1509.435546875,211.747220122379
364,S/H3/34,BHCS,2,60.946262519,267.630859375,66.0589226543181
365,S/H3/34,BHCS,2,77.1284775022,278.6328125,83.5815588903409
366,S/H3/34,BHCB,120,204.659712562,2286.513671875,221.706101313654
367,S/H3/34,BHCB,120,92.7262366244,538.953125,100.341977773842
368,S/H3/34,BHCB,120,512.128747932,4884.234375,553.82505577165
369,S/H3/34,BHCB,120,104.702104669,658.638671875,113.437611041148
370,S/H3/34,BHCB,120,70.328501972,301.828125,76.1516658930642
371,S/H3/34,BHCB,120,554.021354484,8273.673828125,600.285494807917
372,S/H3/34,BHCB,120,273.629481591,4954.01171875,296.160450104686
373,S/H3/34,BHCB,120,230.511134495,2469.15625,249.744728199219
374,S/H3/34,BHCB,120,150.449663993,1381.322265625,162.959640057327
375,S/H3/34,BHCB,120,90.8346615566,393.392578125,98.3918703045433
376,S/H3/34,BHCB,11,74.6684418595,296.919921875,80.8899702322922
377,S/H3/34,BHCB,110,144.791615921,1307.703125,156.761419936463
378,S/H3/34,BHCB,120,582.76577725,6859.46484375,631.289606965983
379,S/H3/34,BHCB,120,116.345419624,747.173828125,125.85906906408
380,S/H3/34,BHCB,120,430.654221873,3273.4375,465.918330054297
